,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
chunk_byte_size,1.0,-0.017085741207259003,0.13471121478723566,0.986042091391158
chunk_number_in_heap,-0.017085741207259003,1.0,-0.02773637658814932,-0.017057821819366038
chunk_ptrs,0.13471121478723566,-0.02773637658814932,1.0,-0.01576606253185451
chunk_vns,0.986042091391158,-0.017057821819366038,-0.01576606253185451,1.0
