,byte_0,byte_1,byte_10,byte_11,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8,byte_9,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
byte_0,1.0,0.444121730355607,0.34867529974404876,0.22337672960590801,-0.022479941983098523,-0.025607595886820912,0.06848625047047674,0.3934144789250331,-0.21675990789387276,0.13372422009757176,0.3749603834130645,-0.0011270020385807,-0.07450475771857779,-0.026778251341085524,-0.31471595471549774,-0.06997520275460366
byte_1,0.444121730355607,1.0,0.3142399713781697,0.03964499313922599,0.16354349066974114,0.03717242671227763,0.013546665210104869,0.0970767946719469,-0.18887099353889755,0.08660517901612552,0.4115879204282902,0.03684975930570278,-0.08262578934092281,0.007771166705759197,-0.3258290618466335,-0.07796009846923982
byte_10,0.34867529974404876,0.3142399713781697,1.0,-0.0044459923358696075,0.3382799121173152,-0.2581163224141093,0.17635923147316054,0.01305491160625555,0.05861307744370508,-0.14855260299782616,0.17820274660201801,-0.007740239508019432,-0.04633700256025549,-0.04362502248199234,-0.22232498924498087,-0.04311136398744498
byte_11,0.22337672960590801,0.03964499313922599,-0.0044459923358696075,1.0,0.13366589159589823,0.24752444803633333,0.2552956961397973,0.46459502142335174,0.058421326731987945,0.41162977479176366,0.07569359861928619,0.2842917026986275,-0.05320954509336699,0.06409417457637029,-0.21953177122758422,-0.05006544948503801
byte_2,-0.022479941983098523,0.16354349066974114,0.3382799121173152,0.13366589159589823,1.0,0.08484853426351073,0.26938698258289306,-0.05288575100318604,0.33832919009111195,0.11563338348174175,0.18341912723636955,0.2928824025092334,-0.0697518225933611,0.0584834696420569,-0.2740053121413414,-0.0658411112949271
byte_3,-0.025607595886820912,0.03717242671227763,-0.2581163224141093,0.24752444803633333,0.08484853426351073,1.0,0.273835885456145,0.24925952699252543,0.2850496814102682,0.49089465864546666,0.21644380363094684,0.3467000130856214,-0.03418785134790247,0.08910835094326908,-0.16536041651289182,-0.03180381731439973
byte_4,0.06848625047047674,0.013546665210104869,0.17635923147316054,0.2552956961397973,0.26938698258289306,0.273835885456145,1.0,0.22384408861352567,0.2745231581653641,0.23929258275056464,0.043977491853148726,0.38288916995218686,-0.07000859032488795,0.10054048266739032,-0.23137459007363131,-0.06676285461634544
byte_5,0.3934144789250331,0.0970767946719469,0.01305491160625555,0.46459502142335174,-0.05288575100318604,0.24925952699252543,0.22384408861352567,1.0,0.05655236617622356,0.4075783148165945,0.2690733111391134,0.10896602335940242,-0.04477054586719667,0.04123870348437629,-0.2171826643347312,-0.04162609532950037
byte_6,-0.21675990789387276,-0.18887099353889755,0.05861307744370508,0.058421326731987945,0.33832919009111195,0.2850496814102682,0.2745231581653641,0.05655236617622356,1.0,0.26260955448066947,0.07060361376520377,0.2954543757535621,-0.05393927679231298,0.10954698695682967,-0.1837921998913792,-0.05135551029251179
byte_7,0.13372422009757176,0.08660517901612552,-0.14855260299782616,0.41162977479176366,0.11563338348174175,0.49089465864546666,0.23929258275056464,0.4075783148165945,0.26260955448066947,1.0,0.22056886556459837,0.2873652602874232,-0.04713961551417595,0.09088418105807466,-0.22154893215887186,-0.04394152041551113
byte_8,0.3749603834130645,0.4115879204282902,0.17820274660201801,0.07569359861928619,0.18341912723636955,0.21644380363094684,0.043977491853148726,0.2690733111391134,0.07060361376520377,0.22056886556459837,1.0,0.0773029672142663,-0.09714179882651014,0.03189234869457629,-0.3538052541545133,-0.09211573630884558
byte_9,-0.0011270020385807,0.03684975930570278,-0.007740239508019432,0.2842917026986275,0.2928824025092334,0.3467000130856214,0.38288916995218686,0.10896602335940242,0.2954543757535621,0.2873652602874232,0.0773029672142663,1.0,-0.15993164076430336,0.11571356536334777,-0.37742904096569035,-0.15480953252278565
chunk_byte_size,-0.07450475771857779,-0.08262578934092281,-0.04633700256025549,-0.05320954509336699,-0.0697518225933611,-0.03418785134790247,-0.07000859032488795,-0.04477054586719667,-0.05393927679231298,-0.04713961551417595,-0.09714179882651014,-0.15993164076430336,1.0,0.03192494235108474,0.2829724906763886,0.9998913081292968
chunk_number_in_heap,-0.026778251341085524,0.007771166705759197,-0.04362502248199234,0.06409417457637029,0.0584834696420569,0.08910835094326908,0.10054048266739032,0.04123870348437629,0.10954698695682967,0.09088418105807466,0.03189234869457629,0.11571356536334777,0.03192494235108474,1.0,0.02180724137626718,0.03170453559139855
chunk_ptrs,-0.31471595471549774,-0.3258290618466335,-0.22232498924498087,-0.21953177122758422,-0.2740053121413414,-0.16536041651289182,-0.23137459007363131,-0.2171826643347312,-0.1837921998913792,-0.22154893215887186,-0.3538052541545133,-0.37742904096569035,0.2829724906763886,0.02180724137626718,1.0,0.2688067329797033
chunk_vns,-0.06997520275460366,-0.07796009846923982,-0.04311136398744498,-0.05006544948503801,-0.0658411112949271,-0.03180381731439973,-0.06676285461634544,-0.04162609532950037,-0.05135551029251179,-0.04394152041551113,-0.09211573630884558,-0.15480953252278565,0.9998913081292968,0.03170453559139855,0.2688067329797033,1.0
