,byte_0,byte_1,byte_10,byte_11,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8,byte_9,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
byte_0,1.0,0.28509049897614624,0.2567332580975495,0.19510461813485477,-0.14626447450983418,-0.10220548454937987,0.05433835452721379,0.42135035649217073,-0.24636870313989898,-0.08629851019927151,0.3407156053322176,0.021244474937099602,-0.3423132317080484,-0.010441246558499305,-0.3769091574796291,-0.3382563237576936
byte_1,0.28509049897614624,1.0,0.20628496467544205,0.034829176162816895,0.11100956986932183,-0.15835830293742503,-0.079252415222107,0.07096400712069527,-0.17906010088739704,-0.15352379427107485,0.36379354124315655,0.06836600917113081,-0.35701597160039567,0.061491715303239776,-0.3992246345414888,-0.35253723663420294
byte_10,0.2567332580975495,0.20628496467544205,1.0,-0.09649609920140365,0.31734384607219634,-0.4257067745469731,0.16488687609782096,-0.05976813880495161,0.11112851219635263,-0.36281617865305726,0.0008507734909085339,-0.051359525655694634,-0.1527326040341017,-0.05958416976278896,-0.2515948452264662,-0.14747043592836045
byte_11,0.19510461813485477,0.034829176162816895,-0.09649609920140365,1.0,0.050606240935090245,0.2946658615470028,0.2013867884787521,0.44355233038355296,-0.08640842813336565,0.43478902864386715,0.03784484006827862,0.28376856155046065,-0.13992546649943524,0.011795000224142885,-0.29898096418332554,-0.1322939693515226
byte_2,-0.14626447450983418,0.11100956986932183,0.31734384607219634,0.050606240935090245,1.0,0.002627867802253029,0.2434376866343864,-0.14376785860435207,0.36637823199467234,0.029316865390979985,0.006596702612714342,0.2723174644795121,-0.23521559994580496,0.009957236671942073,-0.3803889143235429,-0.2274349783954196
byte_3,-0.10220548454937987,-0.15835830293742503,-0.4257067745469731,0.2946658615470028,0.002627867802253029,1.0,0.21396729457352665,0.2685570915455091,0.2730476577415424,0.5691774420116652,0.23591886396335768,0.36286327651658834,-0.06865938826775547,0.05076578967483689,-0.19378680285910152,-0.06300612503402134
byte_4,0.05433835452721379,-0.079252415222107,0.16488687609782096,0.2013867884787521,0.2434376866343864,0.21396729457352665,1.0,0.215743636698681,0.23848220036550544,0.28070915830949267,0.01933412167458191,0.30865381154670746,-0.16260423925122575,0.08416512088273294,-0.339765968104773,-0.15408154544005556
byte_5,0.42135035649217073,0.07096400712069527,-0.05976813880495161,0.44355233038355296,-0.14376785860435207,0.2685570915455091,0.215743636698681,1.0,-0.08947300052973808,0.379867781554523,0.37335085379070865,0.09192367739467128,-0.1372056323810975,-0.03197692478075382,-0.2833743953806131,-0.1301288023671186
byte_6,-0.24636870313989898,-0.17906010088739704,0.11112851219635263,-0.08640842813336565,0.36637823199467234,0.2730476577415424,0.23848220036550544,-0.08947300052973808,1.0,0.2666429561280688,0.12863989801123088,0.22200439758125548,-0.13621384145702775,0.0018816469753797098,-0.2761272970519347,-0.12942280735915848
byte_7,-0.08629851019927151,-0.15352379427107485,-0.36281617865305726,0.43478902864386715,0.029316865390979985,0.5691774420116652,0.28070915830949267,0.379867781554523,0.2666429561280688,1.0,0.13208139034218086,0.33229064119205726,-0.12240555553664507,0.05320680703040815,-0.2778235809297229,-0.1150733543116645
byte_8,0.3407156053322176,0.36379354124315655,0.0008507734909085339,0.03784484006827862,0.006596702612714342,0.23591886396335768,0.01933412167458191,0.37335085379070865,0.12863989801123088,0.13208139034218086,1.0,0.09811954865070546,-0.3982873420325819,0.034944565177149514,-0.4453569214642708,-0.3933115792859732
byte_9,0.021244474937099602,0.06836600917113081,-0.051359525655694634,0.28376856155046065,0.2723174644795121,0.36286327651658834,0.30865381154670746,0.09192367739467128,0.22200439758125548,0.33229064119205726,0.09811954865070546,1.0,-0.46302874121698157,0.07330106656663903,-0.522161542806651,-0.4570480465442059
chunk_byte_size,-0.3423132317080484,-0.35701597160039567,-0.1527326040341017,-0.13992546649943524,-0.23521559994580496,-0.06865938826775547,-0.16260423925122575,-0.1372056323810975,-0.13621384145702775,-0.12240555553664507,-0.3982873420325819,-0.46302874121698157,1.0,-0.008676021803732453,0.8227579816727816,0.9997236497585533
chunk_number_in_heap,-0.010441246558499305,0.061491715303239776,-0.05958416976278896,0.011795000224142885,0.009957236671942073,0.05076578967483689,0.08416512088273294,-0.03197692478075382,0.0018816469753797098,0.05320680703040815,0.034944565177149514,0.07330106656663903,-0.008676021803732453,1.0,0.0022348669094318955,-0.009119238552804991
chunk_ptrs,-0.3769091574796291,-0.3992246345414888,-0.2515948452264662,-0.29898096418332554,-0.3803889143235429,-0.19378680285910152,-0.339765968104773,-0.2833743953806131,-0.2761272970519347,-0.2778235809297229,-0.4453569214642708,-0.522161542806651,0.8227579816727816,0.0022348669094318955,1.0,0.8091852444568335
chunk_vns,-0.3382563237576936,-0.35253723663420294,-0.14747043592836045,-0.1322939693515226,-0.2274349783954196,-0.06300612503402134,-0.15408154544005556,-0.1301288023671186,-0.12942280735915848,-0.1150733543116645,-0.3933115792859732,-0.4570480465442059,0.9997236497585533,-0.009119238552804991,0.8091852444568335,1.0
