,chns_ancestor_2,chns_ancestor_3,chns_ancestor_4,chns_ancestor_5,chns_ancestor_6,chns_ancestor_7,chns_ancestor_8,chns_children_2,chns_children_3,chns_children_4,chns_children_5,chns_children_6,chns_children_7,chns_children_8,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
chns_ancestor_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47903715367045036,0.5211334008434045,0.4775919858249923,0.4150180913044654,0.35968680794211616,0.32745846658263267,0.30973138751493395,0.5191322465701628,0.0653742707285176,0.4761823644175905,0.5169729317603444
chns_ancestor_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47903715367045036,0.5211334008434045,0.4775919858249923,0.4150180913044654,0.35968680794211616,0.32745846658263267,0.30973138751493395,0.5191322465701628,0.0653742707285176,0.4761823644175905,0.5169729317603444
chns_ancestor_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47903715367045036,0.5211334008434045,0.4775919858249923,0.4150180913044654,0.35968680794211616,0.32745846658263267,0.30973138751493395,0.5191322465701628,0.0653742707285176,0.4761823644175905,0.5169729317603444
chns_ancestor_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47903715367045036,0.5211334008434045,0.4775919858249923,0.4150180913044654,0.35968680794211616,0.32745846658263267,0.30973138751493395,0.5191322465701628,0.0653742707285176,0.4761823644175905,0.5169729317603444
chns_ancestor_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47903715367045036,0.5211334008434045,0.4775919858249923,0.4150180913044654,0.35968680794211616,0.32745846658263267,0.30973138751493395,0.5191322465701628,0.0653742707285176,0.4761823644175905,0.5169729317603444
chns_ancestor_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47903715367045036,0.5211334008434045,0.4775919858249923,0.4150180913044654,0.35968680794211616,0.32745846658263267,0.30973138751493395,0.5191322465701628,0.0653742707285176,0.4761823644175905,0.5169729317603444
chns_ancestor_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.47903715367045036,0.5211334008434045,0.4775919858249923,0.4150180913044654,0.35968680794211616,0.32745846658263267,0.30973138751493395,0.5191322465701628,0.0653742707285176,0.4761823644175905,0.5169729317603444
chns_children_2,0.47903715367045036,0.47903715367045036,0.47903715367045036,0.47903715367045036,0.47903715367045036,0.47903715367045036,0.47903715367045036,1.0,0.9349455312254348,0.8500266899961746,0.7556786787336788,0.6871463707131091,0.6434791306679515,0.6196601572573739,0.8222880833864824,0.005708013351748563,0.9981931079816074,0.8087768229919631
chns_children_3,0.5211334008434045,0.5211334008434045,0.5211334008434045,0.5211334008434045,0.5211334008434045,0.5211334008434045,0.5211334008434045,0.9349455312254348,1.0,0.9626544635199584,0.8783209052566575,0.7957832472436688,0.7424585053336978,0.7115686780778318,0.9290926343241277,0.003543861000922164,0.9338300687677584,0.9218408373983851
chns_children_4,0.4775919858249923,0.4775919858249923,0.4775919858249923,0.4775919858249923,0.4775919858249923,0.4775919858249923,0.4775919858249923,0.8500266899961746,0.9626544635199584,1.0,0.9677432326901295,0.8998475123209976,0.8423346300036914,0.8049833704274787,0.8693238983707917,-0.006525338279390022,0.8532953350081404,0.8633845545386922
chns_children_5,0.4150180913044654,0.4150180913044654,0.4150180913044654,0.4150180913044654,0.4150180913044654,0.4150180913044654,0.4150180913044654,0.7556786787336788,0.8783209052566575,0.9677432326901295,1.0,0.9733989865073194,0.9265791571783124,0.8890933996939272,0.7672687516646713,-0.011425426660058953,0.762895983784822,0.7616237132303708
chns_children_6,0.35968680794211616,0.35968680794211616,0.35968680794211616,0.35968680794211616,0.35968680794211616,0.35968680794211616,0.35968680794211616,0.6871463707131091,0.7957832472436688,0.8998475123209976,0.9733989865073194,1.0,0.9845533610061936,0.9608149302652702,0.674552153429684,-0.009548928055977205,0.6952907347340199,0.6685744459611038
chns_children_7,0.32745846658263267,0.32745846658263267,0.32745846658263267,0.32745846658263267,0.32745846658263267,0.32745846658263267,0.32745846658263267,0.6434791306679515,0.7424585053336978,0.8423346300036914,0.9265791571783124,0.9845533610061936,1.0,0.9933591310996581,0.6240998592216592,-0.006449435817312885,0.6504282781405427,0.6182744101633757
chns_children_8,0.30973138751493395,0.30973138751493395,0.30973138751493395,0.30973138751493395,0.30973138751493395,0.30973138751493395,0.30973138751493395,0.6196601572573739,0.7115686780778318,0.8049833704274787,0.8890933996939272,0.9608149302652702,0.9933591310996581,1.0,0.5941994075109142,-0.006425738369196003,0.6258949826214858,0.5883793195508025
chunk_byte_size,0.5191322465701628,0.5191322465701628,0.5191322465701628,0.5191322465701628,0.5191322465701628,0.5191322465701628,0.5191322465701628,0.8222880833864824,0.9290926343241277,0.8693238983707917,0.7672687516646713,0.674552153429684,0.6240998592216592,0.5941994075109142,1.0,-0.008676021803732321,0.8227579816727703,0.9997236497585581
chunk_number_in_heap,0.0653742707285176,0.0653742707285176,0.0653742707285176,0.0653742707285176,0.0653742707285176,0.0653742707285176,0.0653742707285176,0.005708013351748563,0.003543861000922164,-0.006525338279390022,-0.011425426660058953,-0.009548928055977205,-0.006449435817312885,-0.006425738369196003,-0.008676021803732321,1.0,0.002234866909431821,-0.009119238552805057
