pipeline_name,start_time,end_time,duration,random_seed,dataset_path,data_loading_duration,training_dataset_origin,testing_dataset_origin,word2vec_training_duration,word2vec_embedding_duration,system,node_name,release,version,machine,processor,physical_cores,total_cores,total_memory,available_memory
Pipeline.PIPELINE,1697378545.586984,1697378552.659648,7.072664022445679,42,/home/clement/Documents/github/mem2graph/data/chunk_extract,0.089180000,training,,2.425861000,4.268853000,Linux,nixos,6.1.55,#1-NixOS SMP PREEMPT_DYNAMIC Sat Sep 23 09:11:13 UTC 2023,x86_64,,4,8,16553828352,10138267648
Pipeline.PIPELINE,1697378724.6550415,1697378732.5034478,7.8484063148498535,42,/home/clement/Documents/github/mem2graph/data/chunk_extract,0.076448000,training,,2.648843000,4.809994000,Linux,nixos,6.1.55,#1-NixOS SMP PREEMPT_DYNAMIC Sat Sep 23 09:11:13 UTC 2023,x86_64,,4,8,16553828352,10361237504
Pipeline.PIPELINE,1697378994.602391,1697379002.055984,7.453593015670776,42,/home/clement/Documents/github/mem2graph/data/chunk_extract,0.086847000,training,,2.632835000,4.422931000,Linux,nixos,6.1.55,#1-NixOS SMP PREEMPT_DYNAMIC Sat Sep 23 09:11:13 UTC 2023,x86_64,,4,8,16553828352,10298322944
