,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
chunk_byte_size,1.0,0.04784328410335367,0.23784676220743686,0.9789139040337319
chunk_number_in_heap,0.04784328410335367,1.0,0.11950904829602922,0.024057467359292303
chunk_ptrs,0.23784676220743686,0.11950904829602922,1.0,0.03457195602142253
chunk_vns,0.9789139040337319,0.024057467359292303,0.03457195602142253,1.0
