,chns_children_2,chns_children_3,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,ptrs_ancestor_1,ptrs_ancestor_2,ptrs_ancestor_3,ptrs_ancestor_4,ptrs_ancestor_5,ptrs_ancestor_6,ptrs_ancestor_7,ptrs_ancestor_8,ptrs_children_1,ptrs_children_2,ptrs_children_3,ptrs_children_4,ptrs_children_5,ptrs_children_6,ptrs_children_7,ptrs_children_8
chns_children_2,1.0,-4.535781815401486e-05,-0.00046182199470788145,0.004609662021281369,0.0013274317666126453,-0.0005869735625662305,0.0013274317666126453,0.0011010542415590778,0.0011010542415590778,0.0011010542415590778,0.0011010542415590778,0.0011010542415590778,0.0011010542415590778,0.0011010542415590778,0.0013274317666126453,-0.0027597585555348267,0.07009972300460385,0.06616745868539245,0.014691958238921332,0.01817359154717926,-0.0004613312469826738,-0.0004127930723179315
chns_children_3,-4.535781815401486e-05,1.0,0.0018198915116461303,0.0015228678957767451,0.02878055123784964,-0.000635359242904051,0.02878055123784964,0.023099133538142896,0.023099133538142896,0.023099133538142896,0.023099133538142896,0.023099133538142896,0.023099133538142896,0.023099133538142896,0.02878055123784964,0.009367389857262801,-0.0010355941400150177,0.07310096683640409,0.06444261084385067,0.03905407663532924,0.048891249071946905,-0.0004483116197337766
chunk_byte_size,-0.00046182199470788145,0.0018198915116461303,1.0,0.03568768260567248,0.3329739813475939,0.9967123072686824,0.3329739813475939,0.19358554609187276,0.19358554609187276,0.19358554609187276,0.19358554609187276,0.19358554609187276,0.19358554609187276,0.19358554609187276,0.3329739813475939,0.2664433490829982,0.030973839692829363,0.006436288673279862,0.003139870533093014,-0.0013244802342959076,-0.006239684295616103,-0.005633326442345978
chunk_number_in_heap,0.004609662021281369,0.0015228678957767451,0.03568768260567248,1.0,0.024356605733232527,0.034472679546813115,0.024356605733232527,-0.11660491329906837,-0.11660491329906837,-0.11660491329906837,-0.11660491329906837,-0.11660491329906837,-0.11660491329906837,-0.11660491329906837,0.024356605733232527,-0.14927112000869203,0.03973070877797165,0.03093043106003057,0.024391526986715092,0.013647322979772968,0.005858300530582791,0.005336328393698881
chunk_ptrs,0.0013274317666126453,0.02878055123784964,0.3329739813475939,0.024356605733232527,1.0,0.25552831662101294,1.0,0.9084699115546486,0.9084699115546486,0.9084699115546486,0.9084699115546486,0.9084699115546486,0.9084699115546486,0.9084699115546486,1.0,0.7815308349426298,0.22579408558455438,0.19431256503536845,0.165944466079133,0.13218985648709783,0.10340498005437859,0.09172937949836844
chunk_vns,-0.0005869735625662305,-0.000635359242904051,0.9967123072686824,0.034472679546813115,0.25552831662101294,1.0,0.25552831662101283,0.12049295463914463,0.12049295463914463,0.12049295463914463,0.12049295463914463,0.12049295463914463,0.12049295463914463,0.12049295463914463,0.25552831662101283,0.20602119974176128,0.012367939701268786,-0.010074172086283901,-0.011020362589476819,-0.012702105598879873,-0.01526877873320543,-0.013645364352812606
ptrs_ancestor_1,0.0013274317666126453,0.02878055123784964,0.3329739813475939,0.024356605733232527,1.0,0.25552831662101283,1.0,0.9084699115546486,0.9084699115546486,0.9084699115546486,0.9084699115546486,0.9084699115546486,0.9084699115546486,0.9084699115546486,1.0,0.7815308349426298,0.22579408558455438,0.19431256503536845,0.165944466079133,0.13218985648709783,0.10340498005437859,0.09172937949836844
ptrs_ancestor_2,0.0011010542415590778,0.023099133538142896,0.19358554609187276,-0.11660491329906837,0.9084699115546486,0.12049295463914463,0.9084699115546486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9084699115546486,0.7061868445740975,0.18570019507152527,0.16412610644928202,0.13390412143946348,0.1008240667242652,0.07397454644440976,0.06354319021422526
ptrs_ancestor_3,0.0011010542415590778,0.023099133538142896,0.19358554609187276,-0.11660491329906837,0.9084699115546486,0.12049295463914463,0.9084699115546486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9084699115546486,0.7061868445740975,0.18570019507152527,0.16412610644928202,0.13390412143946348,0.1008240667242652,0.07397454644440976,0.06354319021422526
ptrs_ancestor_4,0.0011010542415590778,0.023099133538142896,0.19358554609187276,-0.11660491329906837,0.9084699115546486,0.12049295463914463,0.9084699115546486,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9084699115546486,0.7061868445740975,0.18570019507152527,0.16412610644928202,0.13390412143946348,0.1008240667242652,0.07397454644440976,0.06354319021422526
