,0,00,000,0000,0001,001,0010,0011,01,010,0100,0101,011,0110,0111,1,10,100,1000,1001,101,1010,1011,11,110,1100,1101,111,1110,1111,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,kurt,mad,mean,shannon_entropy,skew,std_dev
0,1.0,0.9891033469873421,0.9748313762531327,0.9652448719707927,0.33212001361025983,0.3259023821300377,0.32994639507371115,0.3199716307153351,0.3261970685464246,0.3291357095351308,0.3245623781926039,0.3306223872971939,0.3213872194534329,0.31640778128982905,0.3202535633349864,0.32500852680543063,0.32620931090548394,0.32591835678700104,0.33214069815057523,0.31691154594067267,0.325438009764063,0.32596776099510294,0.3213897775269618,0.32309780073370714,0.3214017169291435,0.32505725940599434,0.3165583587602972,0.3205955239081071,0.32027400011577845,0.3164552418083268,0.9686378574657978,0.050395581242533,0.15368139028558092,0.966647403457794,0.7093418876969984,-0.1280781739685328,-0.08361302589829382,-0.048667659827223014,0.35372138188870256,-0.1274513341110904
00,0.9891033469873421,1.0,0.9970246390770465,0.9931851671795413,0.19058098729570183,0.18342390767865097,0.18817959783400567,0.1775997487849439,0.18347258633416672,0.18698033970886557,0.1827841814391064,0.18937163705134494,0.17891889214058002,0.17604076340439098,0.17840142044827223,0.18240010724392583,0.18348532733096906,0.18344023501871176,0.1906003485627903,0.1746199987932995,0.18293457041251499,0.18445745454825854,0.17944204890343537,0.18091069555282716,0.178933957811165,0.18285185088357706,0.17434605023317856,0.18055746416946006,0.17842341769796424,0.18013361012901735,0.9215444401960079,0.043866418453417565,0.14570138750814682,0.9196830997730767,0.7397250536273408,-0.13012245920386797,-0.10203090664400118,-0.08160366744693906,0.3764144138961845,-0.1279785906572064
000,0.9748313762531327,0.9970246390770465,1.0,0.9992098694586369,0.1146459474078424,0.1071024475121663,0.11213727869077476,0.10143770293956458,0.10728133374906484,0.11106043862356281,0.1067272272919794,0.11426239699754208,0.10289673382244811,0.10126857699143016,0.10257027101701803,0.10620797949665409,0.10729426911163199,0.10711899940769509,0.114664827959464,0.09851829198709236,0.10711954668487508,0.10920853575247191,0.10388523750605451,0.10488017293617544,0.10291205155312239,0.10678508590491838,0.0986461707725302,0.10551419338865184,0.10259309727341905,0.10690197634615492,0.8889200490298013,0.04019541619562577,0.14132592280940007,0.8870753861557282,0.7491666564377258,-0.1301055894330358,-0.11047354231251875,-0.0980938091958144,0.3848298762777808,-0.1272351360464628
0000,0.9652448719707927,0.9931851671795413,0.9992098694586369,1.0,0.07507279189698729,0.06765609753834874,0.07272666585888501,0.062182490215540565,0.06792387098527239,0.07171179482867047,0.06736805503453915,0.07527534362860054,0.06375740318606551,0.0628362253417856,0.06346134396254195,0.06685919104094862,0.06793690620207492,0.0676729087067427,0.07509183298267919,0.05952019035895897,0.06797763821451842,0.07020601157587211,0.06502837917836601,0.06562410245605543,0.06377288037582733,0.06751918004947227,0.05977690476697348,0.066653136400564,0.06348470547989243,0.06882256805089126,0.8701143052791935,0.03817023271953819,0.13810315455248517,0.8683234332632692,0.7525112555929948,-0.129992516946292,-0.11443561904365047,-0.10626828387230941,0.3882604979768328,-0.1268233233420148
0001,0.33212001361025983,0.19058098729570183,0.1146459474078424,0.07507279189698729,1.0,0.9961139484893885,0.9956967988364431,0.9908005300239727,0.99390706014389,0.994041854795812,0.9938965826916843,0.9853050789600566,0.9880421180646076,0.9702252183900382,0.9872421772905187,0.9935879332414739,0.9939057209925679,0.9961088291666687,0.9999973034833798,0.9840947093642115,0.9885018275946654,0.9852111464256662,0.9810751312845374,0.9911439770690181,0.9880395592880769,0.9915759919648972,0.9808872607737045,0.9813265273332299,0.9872308893402537,0.9619215951627178,0.5543989242181099,0.05447380183103733,0.09394809992756498,0.5528803419795291,-0.012510783955355306,-0.015178113070853236,0.08869942596248216,0.1951225717442672,-0.04926268073496263,-0.02237504285238025
001,0.3259023821300377,0.18342390767865097,0.1071024475121663,0.06765609753834874,0.9961139484893885,1.0,0.9971313438994539,0.9971203214304356,0.9983454774083976,0.9953938782291647,0.9965326058422077,0.9854021580751102,0.9955279232831021,0.9791722540731911,0.993012694057852,0.9982002929981064,0.998344814162868,0.9999993963636582,0.9961226850200375,0.9959160015351802,0.9934681323436512,0.9864681238102471,0.9896691767055026,0.9959223510082432,0.9955268820632739,0.9966695635990019,0.9907520063694454,0.9832786350125287,0.9930052760702013,0.9601134550086329,0.5501191172054051,0.05321535155120898,0.07698936092119646,0.5496360706639036,-0.01279602615164063,-0.01914715549378346,0.09289166128881966,0.19847683422726495,-0.052575981860933256,-0.028101975559208882
0010,0.32994639507371115,0.18817959783400567,0.11213727869077476,0.07272666585888501,0.9956967988364431,0.9971313438994539,1.0,0.9885199321080659,0.9948118597537654,0.9963250213822427,0.9977033397566062,0.9860933660401178,0.9875691995356738,0.967579207811674,0.9891051204435098,0.9942893148532588,0.9948109980891336,0.9971286597023573,0.9957003915611073,0.9905580577716123,0.9892908457791245,0.9854747196898469,0.9823772109905589,0.991638317213979,0.9875679790782873,0.9898587648245598,0.9816687893857949,0.9828018240400271,0.9890970727654238,0.9629974362159783,0.5526630361737572,0.04980878566438078,0.10240412235340912,0.5505976480372359,-0.012039385417706222,-0.01608631378670783,0.08733332746038,0.19309516527252626,-0.04785610444376253,-0.02308378961042752
0011,0.3199716307153351,0.1775997487849439,0.10143770293956458,0.062182490215540565,0.9908005300239727,0.9971203214304356,0.9885199321080659,1.0,0.9961415971080464,0.9887339177465889,0.9896259114001991,0.9790402077099931,0.9977736566738009,0.98515245534028,0.9912149811654835,0.9963753357314371,0.9961411648430895,0.997121850772285,0.990814458806271,0.9955537712153525,0.9919372711777306,0.9817879915327555,0.9912803879103639,0.9944842811255835,0.997772788335369,0.9977586725005297,0.9941517730811618,0.9780990101384094,0.9912082296957421,0.9516993187298491,0.5444016853902353,0.0563156908126178,0.051084144580256924,0.5455066874918378,-0.013481396242101564,-0.02209995567468457,0.09790673948702669,0.2027137159283825,-0.057003044745663985,-0.03296483177476718
01,0.3261970685464246,0.18347258633416672,0.10728133374906484,0.06792387098527239,0.99390706014389,0.9983454774083976,0.9948118597537654,0.9961415971080464,1.0,0.9970982396935648,0.993505336121843,0.9916700255146602,0.9971233184961937,0.9823565907511626,0.9928748227141945,0.9989500438269282,0.9999999116177181,0.9983472657621331,0.9939207830378185,0.9948409575437224,0.9983856400485462,0.9921437611362376,0.9937809996449889,0.9957550485095095,0.9971233663395356,0.9963758982699906,0.9942417314337839,0.9813142046974109,0.9928700124189037,0.9563903648788311,0.5505765235251995,0.05484178248332267,0.09061370273161759,0.5492376681519858,-0.013333085684912952,-0.01969217252893953,0.09685484912547926,0.1990246840766651,-0.05507902874906701,-0.029272510587138836
010,0.3291357095351308,0.18698033970886557,0.11106043862356281,0.07171179482867047,0.994041854795812,0.9953938782291647,0.9963250213822427,0.9887339177465889,0.9970982396935648,1.0,0.9953095787559666,0.9956082605178431,0.9884598935375728,0.9680569874339253,0.990420076445735,0.9956738356506982,0.9970983084886993,0.9953940566230718,0.9940506461390277,0.9887507002695823,0.9955448055045568,0.9963985514889201,0.9839283064982292,0.9921073284004637,0.988460191195641,0.9887816429014334,0.9845365104042396,0.9828342117188391,0.9904155457765952,0.9617750712684217,0.5523108070153258,0.050799463991665836,0.10855305680366978,0.5498547568219906,-0.012778129497754035,-0.01397333100324442,0.0918419588349959,0.19122965932353328,-0.050245678149384784,-0.021475657661272404
