,0,00,000,0000,0001,001,0010,0011,01,010,0100,0101,011,0110,0111,1,10,100,1000,1001,101,1010,1011,11,110,1100,1101,111,1110,1111,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,kurt,mad,mean,shannon_entropy,skew,std_dev
0,1.0,0.9847307630173527,0.9635646606209838,0.9417270970979631,0.7820859927345812,0.7877382100530583,0.7476438735285613,0.7240527728774759,0.7883890634292563,0.7724353007715282,0.7475014758671306,0.7471271169543323,0.766499125182085,0.7103218955004039,0.6737439255876554,0.7787243066615648,0.7883728597914181,0.7875734397573589,0.7817539849067255,0.6722416344027871,0.7545996079374182,0.731420110593323,0.7016935641566683,0.7183575586754054,0.7664502815043978,0.7303277021059096,0.6720757349981621,0.590082747665205,0.6737153459055063,0.4580699350761172,0.9819354078291167,0.03149794671319502,0.3525670193827893,0.9765428173146933,0.13619161866487503,-0.0829254381262805,-0.06349527187880598,-0.09548802403790267,0.10107905280567805,-0.0662846603972084
00,0.9847307630173527,1.0,0.9950345360235071,0.9850163845444642,0.676047021328431,0.6778634160174012,0.6433267154105929,0.6231111361902236,0.6692584244324348,0.6538242147346289,0.6421234601182135,0.6271489444307318,0.6538690458126026,0.6081290594545408,0.5720509036620123,0.6634072482260126,0.6692395535856769,0.6776732773394814,0.6756391309056263,0.5734289849309953,0.6337211412541023,0.6123842572238407,0.5930576390124916,0.6150849579411308,0.6538223566580408,0.6295297641914515,0.5651166189781277,0.5073586299461827,0.5720335839896754,0.3984966039257944,0.9357528513998173,0.03278104461527397,0.35367376101081865,0.9290545917311019,0.17664112219881203,-0.10000396985197312,-0.10064498291678918,-0.13774132972330658,0.14576332722254706,-0.07991856021641862
000,0.9635646606209838,0.9950345360235071,1.0,0.9971144385924017,0.6040077810411333,0.6013243806857915,0.5705155909088401,0.5529782196885172,0.5964632847191523,0.5823996030243703,0.5705622607340779,0.5594339606077826,0.583270640422238,0.542995016358396,0.5096406432923859,0.5922462057589152,0.5964423727601245,0.6011209370236413,0.603559161924357,0.5015054050079331,0.5669259482873964,0.5471483473521778,0.5319380971376363,0.5504233163330522,0.5832237517392787,0.5574185423143303,0.5093002325777906,0.4556312701740281,0.5096306514381124,0.3604895984923306,0.8984800480302381,0.03297050593885495,0.3511201711014785,0.8910322663947482,0.19714493158424912,-0.10743170636624859,-0.11948470245633012,-0.1607516200763171,0.16897502909889167,-0.0855465750043385
0000,0.9417270970979631,0.9850163845444642,0.9971144385924017,1.0,0.5417643591584843,0.5422180006050263,0.5144797397475526,0.49857304926460283,0.5386580741761102,0.5254774542876198,0.5153071289158001,0.5044739052275835,0.5275551673241088,0.4915536094037475,0.46043355043713924,0.5355436349965407,0.5386336830397026,0.5420068491105402,0.541297268934823,0.4570911946065878,0.5126213239254552,0.4938653246187458,0.4827430360341568,0.49864201446987116,0.5275056593308537,0.5017298565814667,0.46370957374669075,0.4135028919853535,0.4604253336007001,0.32849703090956245,0.8650659456025169,0.03195421235289136,0.3468244808823546,0.8571228278090502,0.21088213188973587,-0.11359617353767645,-0.13170301797246659,-0.1751847820501139,0.18338456605688772,-0.09062457225593182
0001,0.7820859927345812,0.676047021328431,0.6040077810411333,0.5417643591584843,1.0,0.9655753455344521,0.915646189038836,0.8884943459195341,0.9491060812177943,0.9317417260394618,0.9074846805831456,0.8979444301970809,0.9196360361222798,0.8516295602767753,0.8090819668674037,0.9352148440489665,0.9491298466399558,0.9655358305420518,0.999930615358768,0.7541330933967951,0.8953918901776307,0.8732926961163554,0.8217272075881223,0.8596796911276214,0.919636613869704,0.9045007828993478,0.7709152160517821,0.7040849101156617,0.80905723867068,0.5432305193467794,0.8663224961505621,0.02978757795460428,0.24627389526877164,0.8672742585836262,-0.03128480866428323,0.0033733957615182464,0.06074588638612421,0.05997337240074321,-0.05479669402505971,0.004514660197992133
001,0.7877382100530583,0.6778634160174012,0.6013243806857915,0.5422180006050263,0.9655753455344521,1.0,0.9503092212009967,0.9175848381099496,0.9668182394323808,0.9467844093513587,0.9403113259634667,0.9022674965907423,0.9407474687241467,0.8710421700576999,0.8278176544179422,0.9510541325234505,0.9668206274658999,0.9999735451862756,0.9656111054490695,0.8989812211610605,0.8997059057591094,0.8744924683073251,0.8317405132253051,0.8721336035318737,0.9407187524337539,0.9363007383034815,0.7746669189598645,0.7075962925684773,0.8277516992308337,0.5365298739756731,0.8753234241801017,0.019735406341870404,0.24546940043988896,0.8765797124611227,-0.03828326665730585,-0.009094412826355213,0.07520733323423255,0.08204240847106802,-0.07824320213972344,-0.009510020493507776
0010,0.7476438735285613,0.6433267154105929,0.5705155909088401,0.5144797397475526,0.915646189038836,0.9503092212009967,1.0,0.7482335979664061,0.9177301254329661,0.9297283645548716,0.938676538159335,0.8774602736713759,0.8406877344609348,0.7954240652709159,0.7187191655918945,0.8757624877713809,0.9177168571890753,0.9502141843563015,0.9155301310082173,0.8576723696904609,0.8532414758694662,0.8156654656493197,0.8163001321862718,0.7674707680628179,0.8406288425685927,0.843137810099874,0.6841241615787952,0.6116588352448675,0.7186184483938942,0.4618014923812841,0.8226637416299105,0.012770625435447243,0.23938982932767444,0.8230789802617037,-0.028213261177274743,-0.016175074946428517,0.05734489738811069,0.06947612660461294,-0.06012584154214067,-0.014972644820195453
0011,0.7240527728774759,0.6231111361902236,0.5529782196885172,0.49857304926460283,0.8884943459195341,0.9175848381099496,0.7482335979664061,1.0,0.8884790076230825,0.8304664893751827,0.8052347391360337,0.8023466151696288,0.9312970354601781,0.8405523678978014,0.8463769637328472,0.9084534957405025,0.8885016569575044,0.9176508872788045,0.8887202967274541,0.8205842157512481,0.8278099247779849,0.8220660828053707,0.7301302619726924,0.8785237757530534,0.9313105998174991,0.918694090262477,0.7772855595546518,0.7268113497577406,0.8463644880660175,0.5535777117194248,0.8148970908449373,0.02571602077027749,0.21749975629471996,0.8170379519324743,-0.04551368323335296,0.0011905057749115996,0.08681951029475733,0.08596115525616237,-0.08986577033669121,-0.0012246325290712944
01,0.7883890634292563,0.6692584244324348,0.5964632847191523,0.5386580741761102,0.9491060812177943,0.9668182394323808,0.9177301254329661,0.8884790076230825,1.0,0.9864432126624992,0.9213746983350141,0.9726836339656986,0.9609576870769406,0.8828122582301627,0.854189267748728,0.9794427052247969,0.9999971026837154,0.9667860466864445,0.9491293858247253,0.8429117158730326,0.9813569858006376,0.957817529061151,0.8992474414287558,0.8925660305472476,0.9609136691385084,0.8925781775972998,0.8715703026521643,0.7257659630231328,0.8541279128046114,0.5470266708794349,0.8843682975742438,0.01863121536522234,0.2549793167912808,0.8850259204578306,-0.04294306320352043,-0.0004960548123135124,0.08479930205982408,0.07928411483236178,-0.08373292609887562,-0.0004482222322752736
010,0.7724353007715282,0.6538242147346289,0.5823996030243703,0.5254774542876198,0.9317417260394618,0.9467844093513587,0.9297283645548716,0.8304664893751827,0.9864432126624992,1.0,0.9412781477492527,0.9820075309837776,0.9025240917078583,0.8257480900662534,0.8064325185745903,0.9486036559277288,0.9864313247342322,0.9467128752716519,0.9316156179680898,0.821718802460127,0.9732821455888212,0.9713794092639251,0.8486745411535299,0.8412003701057448,0.9024625049643263,0.8337881173718633,0.8242100568781231,0.6867170829142323,0.8063570380480336,0.5187637627477171,0.8631486502968575,0.01298312146149392,0.24855678935704367,0.8638179595768307,-0.035274257323126036,-0.0023782463097321437,0.06842552541671602,0.06128749413978537,-0.06712073164947546,-0.001340286353674806
