,chns_ancestor_2,chns_ancestor_3,chns_ancestor_4,chns_ancestor_5,chns_ancestor_6,chns_ancestor_7,chns_ancestor_8,chns_children_2,chns_children_3,chns_children_4,chns_children_5,chns_children_6,chns_children_7,chns_children_8,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
chns_ancestor_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5415919957953372,0.5238937896944328,0.43661854394532496,0.3509779360000325,0.2980974177648508,0.272045627169905,0.25525756894726803,0.35125296729040406,0.13856869425366436,0.5322708802314023,0.3453551746062451
chns_ancestor_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5415919957953372,0.5238937896944328,0.43661854394532496,0.3509779360000325,0.2980974177648508,0.272045627169905,0.25525756894726803,0.35125296729040406,0.13856869425366436,0.5322708802314023,0.3453551746062451
chns_ancestor_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5415919957953372,0.5238937896944328,0.43661854394532496,0.3509779360000325,0.2980974177648508,0.272045627169905,0.25525756894726803,0.35125296729040406,0.13856869425366436,0.5322708802314023,0.3453551746062451
chns_ancestor_5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5415919957953372,0.5238937896944328,0.43661854394532496,0.3509779360000325,0.2980974177648508,0.272045627169905,0.25525756894726803,0.35125296729040406,0.13856869425366436,0.5322708802314023,0.3453551746062451
chns_ancestor_6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5415919957953372,0.5238937896944328,0.43661854394532496,0.3509779360000325,0.2980974177648508,0.272045627169905,0.25525756894726803,0.35125296729040406,0.13856869425366436,0.5322708802314023,0.3453551746062451
chns_ancestor_7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5415919957953372,0.5238937896944328,0.43661854394532496,0.3509779360000325,0.2980974177648508,0.272045627169905,0.25525756894726803,0.35125296729040406,0.13856869425366436,0.5322708802314023,0.3453551746062451
chns_ancestor_8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5415919957953372,0.5238937896944328,0.43661854394532496,0.3509779360000325,0.2980974177648508,0.272045627169905,0.25525756894726803,0.35125296729040406,0.13856869425366436,0.5322708802314023,0.3453551746062451
chns_children_2,0.5415919957953372,0.5415919957953372,0.5415919957953372,0.5415919957953372,0.5415919957953372,0.5415919957953372,0.5415919957953372,1.0,0.9097914560846266,0.7887277522040741,0.6578434062796237,0.5753588878853503,0.5320770777269158,0.5031058355191659,0.3047675472227143,0.07549065239991412,0.9912107766733113,0.2924251679116396
chns_children_3,0.5238937896944328,0.5238937896944328,0.5238937896944328,0.5238937896944328,0.5238937896944328,0.5238937896944328,0.5238937896944328,0.9097914560846266,1.0,0.9361670367109587,0.8255987872866153,0.7427590193637705,0.6941547403914657,0.6609352281766687,0.3169622813029938,0.06710014223086591,0.8811128843397931,0.3061749233791327
chns_children_4,0.43661854394532496,0.43661854394532496,0.43661854394532496,0.43661854394532496,0.43661854394532496,0.43661854394532496,0.43661854394532496,0.7887277522040741,0.9361670367109587,1.0,0.9638669115639501,0.9095907234910993,0.8665140979137391,0.8341827445876012,0.26980145125331084,0.05444775780109071,0.7743385491052109,0.2602869145194252
chns_children_5,0.3509779360000325,0.3509779360000325,0.3509779360000325,0.3509779360000325,0.3509779360000325,0.3509779360000325,0.3509779360000325,0.6578434062796237,0.8255987872866153,0.9638669115639501,1.0,0.9842330559682184,0.9571007446380717,0.932747384623392,0.2236287041508114,0.03970197821804433,0.6558815454101763,0.21555039324269526
chns_children_6,0.2980974177648508,0.2980974177648508,0.2980974177648508,0.2980974177648508,0.2980974177648508,0.2980974177648508,0.2980974177648508,0.5753588878853503,0.7427590193637705,0.9095907234910993,0.9842330559682184,1.0,0.9916502948644487,0.9779211299773337,0.19340608532821948,0.028485806356468378,0.5815225920313634,0.18622438234016211
chns_children_7,0.272045627169905,0.272045627169905,0.272045627169905,0.272045627169905,0.272045627169905,0.272045627169905,0.272045627169905,0.5320770777269158,0.6941547403914657,0.8665140979137391,0.9571007446380717,0.9916502948644487,1.0,0.9964342702773505,0.17863940461107355,0.02243387658827794,0.541931302537646,0.1719403226942954
chns_children_8,0.25525756894726803,0.25525756894726803,0.25525756894726803,0.25525756894726803,0.25525756894726803,0.25525756894726803,0.25525756894726803,0.5031058355191659,0.6609352281766687,0.8341827445876012,0.932747384623392,0.9779211299773337,0.9964342702773505,1.0,0.16892580892765635,0.018728581001016816,0.5150531365738072,0.16255561609154281
chunk_byte_size,0.35125296729040406,0.35125296729040406,0.35125296729040406,0.35125296729040406,0.35125296729040406,0.35125296729040406,0.35125296729040406,0.3047675472227143,0.3169622813029938,0.26980145125331084,0.2236287041508114,0.19340608532821948,0.17863940461107355,0.16892580892765635,1.0,0.1227141529513554,0.2972844711963389,0.9999146485102116
chunk_number_in_heap,0.13856869425366436,0.13856869425366436,0.13856869425366436,0.13856869425366436,0.13856869425366436,0.13856869425366436,0.13856869425366436,0.07549065239991412,0.06710014223086591,0.05444775780109071,0.03970197821804433,0.028485806356468378,0.02243387658827794,0.018728581001016816,0.1227141529513554,1.0,0.08161794581703923,0.12208849032893468
chunk_ptrs,0.5322708802314023,0.5322708802314023,0.5322708802314023,0.5322708802314023,0.5322708802314023,0.5322708802314023,0.5322708802314023,0.9912107766733113,0.8811128843397931,0.7743385491052109,0.6558815454101763,0.5815225920313634,0.541931302537646,0.5150531365738072,0.2972844711963389,0.08161794581703923,1.0,0.2847921553587879
chunk_vns,0.3453551746062451,0.3453551746062451,0.3453551746062451,0.3453551746062451,0.3453551746062451,0.3453551746062451,0.3453551746062451,0.2924251679116396,0.3061749233791327,0.2602869145194252,0.21555039324269526,0.18622438234016211,0.1719403226942954,0.16255561609154281,0.9999146485102116,0.12208849032893468,0.2847921553587879,1.0
