,byte_0,byte_1,byte_10,byte_11,byte_12,byte_13,byte_14,byte_15,byte_16,byte_17,byte_18,byte_19,byte_2,byte_20,byte_21,byte_22,byte_23,byte_24,byte_25,byte_26,byte_27,byte_28,byte_29,byte_3,byte_30,byte_31,byte_4,byte_5,byte_6,byte_7,byte_8,byte_9,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
byte_0,1.0,0.2322179575994499,0.2624804766822663,0.2184818734926632,-0.3748702868952152,0.10135122271750566,-0.19544851012038866,0.42145127930159704,0.36822491208656116,-0.06783979759130099,-0.014749569000034352,-0.2068463349750252,-0.14535985454375755,-0.05325619910094581,-0.013380988909212011,0.02339953939802179,0.022905491264672645,0.024035263628050477,0.2223068191517601,0.21633775729989083,0.23239188273905834,-0.12211008658235581,0.03928001302368988,-0.13060458935843566,0.05827677938911979,0.04780577652233613,0.07518315103011922,0.4439436787583654,-0.21119382550335558,-0.10412500820659223,0.35494463741659704,0.023576017982384193,-0.3479962933148531,-0.030219562450492257,-0.36210605833164705,-0.34547970242199416
byte_1,0.2322179575994499,1.0,0.26348784245638757,0.04926319409396053,-0.1654283867041059,-0.21312319650817968,-0.18203731076536794,-0.1561056699284113,0.06588461424850488,0.042963217416486274,-0.05672907247879241,-0.14000600255637316,0.14857233511697693,-0.21249783395071345,-0.1980831135043941,-0.27427194377384434,-0.22642943653645442,-0.011094176600108568,0.038690114058185295,0.08800624708967125,-0.010296055654304477,-0.19100516777714696,-0.35223273746309147,-0.19717776249875807,-0.30002119832896745,-0.17417887422603223,-0.13998308168413448,0.06801608242172646,-0.18641883701502693,-0.1212852163714188,0.34164208895651754,-0.04115574784165987,-0.37373860575896234,0.018985099488758796,-0.39364652351352764,-0.37096352109762554
byte_10,0.2624804766822663,0.26348784245638757,1.0,-0.14389685586675002,-0.06886356933218413,-0.18356512178787374,-0.07324185450744933,-0.09355203481038579,-0.004154520445937525,-0.5126588728263827,-0.2535466875735229,-0.43814659141649365,0.33817551143512475,-0.35774088533900994,-0.32933661100073175,-0.05892293913220213,-0.19685127430657287,0.45617062642789735,0.34803329859642756,0.24711601220504945,0.4341815618153397,-0.19659040320158797,-0.2865199513206905,-0.46419339010870075,-0.11850774962337561,-0.34164775980715634,0.11737198871456546,-0.030435491208115558,0.15683828313758152,-0.3910937067693431,0.07420466302345703,-0.11778491167792773,-0.19043496689402448,-0.045147142904153684,-0.2585172194224308,-0.18689065481789185
byte_11,0.2184818734926632,0.04926319409396053,-0.14389685586675002,1.0,0.07530425371967107,0.40769956094789717,0.17087996140315764,0.4683811084079912,0.25973825159236463,0.38789506302795645,0.21598986262723976,0.38446360085649045,0.045785935998332646,0.33715095801275385,0.44483394305404755,0.2017745179359688,0.3089520601360369,-0.05044527311728697,-0.08470152374508193,0.025451968296481522,-0.23494085183234514,-0.007406183869483278,0.25962161755395624,0.34869184769052963,0.24141338329866335,0.24251756498273971,0.2725593386181904,0.4436444404278783,-0.0976461398491654,0.425358888714333,0.039102979560424966,0.3820015310512942,-0.1772192656040668,0.035448557747125284,-0.3067856777999479,-0.17127751107148126
byte_12,-0.3748702868952152,-0.1654283867041059,-0.06886356933218413,0.07530425371967107,1.0,0.1706177262045403,0.22945349922782757,-0.03491975664758952,-0.09242453448279178,0.2587126111197907,0.2093990267803489,0.48178833965828566,0.2640423536924919,0.17003830212470036,0.22716964228252962,0.26312296049190526,0.15809763957353914,0.07133605903167614,-0.14731582633012388,-0.13819835733174043,-0.05374593694657597,0.17601205687859794,0.2845456738742619,0.3957137497586929,0.2614096423768312,0.24167731701158218,0.3170653638568164,-0.07524101203576,0.486338287983251,0.507045889994266,-0.035445859421573245,0.38687273555619667,-0.11886606522881091,0.034187244358114585,-0.21716214286535335,-0.11439925275878957
byte_13,0.10135122271750566,-0.21312319650817968,-0.18356512178787374,0.40769956094789717,0.1706177262045403,1.0,0.42042734487920663,0.538443140680907,0.3657440480468922,0.5416800018870064,0.39225192467708003,0.484836163673782,0.09675920204509192,0.537317987058941,0.5198677911807544,0.6048078487295628,0.6607039263353903,-0.015661804140391627,-0.04857019798142841,-0.07899845913971605,-0.13279939305083227,0.43190213709797226,0.5327146652023512,0.44791434719696355,0.5269201621405702,0.5477878531530608,0.4435097078554103,0.3194736009443262,0.3099375754990099,0.41957128226897566,0.05003675274069049,0.3225572033850659,-0.2056162734956899,0.040137840305044824,-0.32220795546502445,-0.20008417442581247
byte_14,-0.19544851012038866,-0.18203731076536794,-0.07324185450744933,0.17087996140315764,0.22945349922782757,0.42042734487920663,1.0,0.16662586063616003,0.2537145281197711,0.302578318881788,0.5233849030966644,0.2518732336257944,0.36123200240379977,0.5309932362358669,0.5085132056224767,0.22148662751266973,0.3274288850227264,0.09908593039458616,-0.09374153203035142,-0.106295556199736,-0.08190291692967558,0.5913857962776672,0.18564900382768376,0.32988597953630644,0.5173015671528064,0.3929098929493364,0.5143381144489672,-0.019666755962146388,0.15351933977036908,0.22324643739898012,-0.2006239977507706,0.3240197452208303,-0.13330119604333732,0.0025536016861712166,-0.23787408551253103,-0.12867545119633386
byte_15,0.42145127930159704,-0.1561056699284113,-0.09355203481038579,0.4683811084079912,-0.03491975664758952,0.538443140680907,0.16662586063616003,1.0,0.4265570173712992,0.2875405400923067,0.20178263406832483,0.21981708935822772,-0.029749127325704925,0.37979919249226407,0.39903743453016277,0.36896712221761824,0.419974311831849,0.009337427230905564,0.11867576684826148,0.13291147773409753,-0.027731137033555047,0.1061891507954723,0.4615129178433508,0.3058124922221349,0.4279792240962508,0.39529411807378223,0.31904839881002767,0.4983639642185548,0.1007248710333219,0.31718055318887745,0.20206814594761055,0.31433781871616334,-0.23598871681731684,-0.020424113488562927,-0.3384558099323393,-0.23072535533964106
byte_16,0.36822491208656116,0.06588461424850488,-0.004154520445937525,0.25973825159236463,-0.09242453448279178,0.3657440480468922,0.2537145281197711,0.4265570173712992,1.0,0.31651316912729055,0.48858742514952086,0.1941360029342169,-0.02568528160314532,0.46011498865034484,0.35159981066816404,0.10328863806241818,0.3034190026632673,-0.2562991866151921,-0.08323835071063615,-0.004696551875264982,-0.16392975536632592,0.3501770731164097,0.3660975107479719,0.37736086819645176,0.4800797573724962,0.5178119899623213,0.2535396557587096,0.5889914683439917,0.060764172477166534,0.29138254375746625,0.5236160411508979,0.09934713104330718,-0.3961278190468694,-0.07799418546979864,-0.41671497505439825,-0.3931281531879937
byte_17,-0.06783979759130099,0.042963217416486274,-0.5126588728263827,0.38789506302795645,0.2587126111197907,0.5416800018870064,0.302578318881788,0.2875405400923067,0.31651316912729055,1.0,0.48850421435496605,0.6377026180896003,-0.01940120138948673,0.47090925331494005,0.43658925159673534,0.3783202285516705,0.4993417190034243,-0.31776741282777055,-0.37048930885076253,-0.2568549049387773,-0.39497925148100493,0.40577421365106386,0.42669514646543827,0.5797704621352044,0.33396744788643673,0.5494626379377059,0.20763495988323022,0.20512052307359419,0.13176840641325205,0.5883803473121674,0.15110906653995534,0.36936604843339427,-0.3567923036168704,0.006568721382546776,-0.3761023725527786,-0.35406538825527306
