,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
chunk_byte_size,1.0,0.021320899349807538,0.10477825186818993,0.9151612169552751
chunk_number_in_heap,0.021320899349807538,1.0,0.5668760759818559,-0.20621934063957248
chunk_ptrs,0.10477825186818993,0.5668760759818559,1.0,-0.30299876284227933
chunk_vns,0.9151612169552751,-0.20621934063957248,-0.30299876284227933,1.0
