,embedded_0,embedded_1,embedded_2,embedded_3,embedded_4,embedded_5,embedded_6,embedded_7
embedded_0,,,,,,,,
embedded_1,,1.0,,0.4202270694076502,0.9767250906699907,-0.2352324651754662,-0.14428843471304065,0.9639128021552968
embedded_2,,,,,,,,
embedded_3,,0.4202270694076502,,1.0,0.5751913899468294,0.40247760315967684,0.20405949141405777,0.5774005125942634
embedded_4,,0.9767250906699907,,0.5751913899468294,1.0,-0.07801767934694827,-0.02091296266600579,0.9956977578454215
embedded_5,,-0.2352324651754662,,0.40247760315967684,-0.07801767934694827,1.0,0.86911348338655,0.0005013685788401059
embedded_6,,-0.14428843471304065,,0.20405949141405777,-0.02091296266600579,0.86911348338655,1.0,0.060606353402288815
embedded_7,,0.9639128021552968,,0.5774005125942634,0.9956977578454215,0.0005013685788401059,0.060606353402288815,1.0
