,byte_0,byte_1,byte_10,byte_11,byte_12,byte_13,byte_14,byte_15,byte_16,byte_17,byte_18,byte_19,byte_2,byte_20,byte_21,byte_22,byte_23,byte_24,byte_25,byte_26,byte_27,byte_28,byte_29,byte_3,byte_30,byte_31,byte_4,byte_5,byte_6,byte_7,byte_8,byte_9,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
byte_0,1.0,0.7543560833180241,0.1248495134527766,0.09316678791947422,-0.014265615036659633,0.04334357356789688,0.17876290070733633,0.2858294786138539,0.022865022723632843,-0.14626087722959266,-0.26115177511175974,-0.20438752375193006,0.4739111428625289,-0.10980928944989903,-0.06256748514859078,0.17807541911170113,0.17107423026308674,0.09767931355084225,0.13375010242451024,0.13033566760987073,0.13103565374817797,0.25354045681370757,0.25325325584087055,0.22050096669779282,0.29134678531772856,0.31884761102114323,0.2055392285173799,0.2336714775151583,-0.07695947605247329,-0.03924041754801954,0.09613337808929963,0.05111704125391794,0.030982524695925825,0.43373497097595026,-0.027925363598056367,0.03223050738498609
byte_1,0.7543560833180241,1.0,0.1162557619238067,0.07453311020529438,-0.011425355997437311,0.030148859718718904,0.18100832705815142,0.2596109896183748,0.007892865148516974,-0.14527313166353303,-0.27342629671122803,-0.21373416612441337,0.49625754685113543,-0.12392629860204184,-0.08452268684781844,0.14845398211533717,0.1401903270328685,0.09152091864658726,0.11689033416881324,0.13675758722189696,0.12930265955383075,0.2587794242241399,0.2270240283425157,0.23565622608450748,0.2771438741632181,0.2900514047015925,0.19591337358793048,0.22437135804403618,-0.0755429607895335,-0.03676941019070775,0.08951429613018762,0.05690923800567812,0.019298707749560776,0.4397074686460495,-0.02642116175850385,0.020443469491217933
byte_10,0.1248495134527766,0.1162557619238067,1.0,0.4729820822997029,0.4253799288699873,0.3772597478182624,0.10820901290382613,0.09727603813316867,0.10731932192997923,0.10010255390673332,0.3593628099282095,0.1283491052702059,-0.10012155802495835,0.33528906604516934,0.3320696425498791,0.06719778035841927,0.051261003773244,0.0606311532103234,0.06500750543098796,0.0553818603212445,0.06053951903254022,0.13672011971434156,0.11419096295855713,-0.18516422326247542,0.1531541816663665,0.13670224096914485,-0.1650756847985789,-0.08939314405925597,-0.14734600285447577,-0.14513198605147964,0.467300360234185,0.4495687068050703,0.005310083264335171,-0.07083968234490642,-0.06641190401396865,0.00805173766971504
byte_11,0.09316678791947422,0.07453311020529438,0.4729820822997029,1.0,0.4033646924640494,0.3705744671641331,0.23973335920718003,0.1982405423804808,0.08543783339910203,0.07101356845000167,0.07573460006806954,0.28690304129161726,-0.009246767501580056,0.21172901425216126,0.20668229476720784,0.06048091468900321,0.05754114075485864,0.013489982134879563,0.018574391431532687,0.005357676814458854,0.007766472466625226,0.09921287213489813,0.1168361752337232,0.1804877982153226,0.11821302263852909,0.11759088015799389,-0.030907519740284568,-0.019007733103826047,-0.06931835845059502,-0.057166821753777526,0.23720045111221721,0.2522624429853687,0.006701797391264416,-0.001210975090031419,-0.020287519773330712,0.007559001258899061
byte_12,-0.014265615036659633,-0.011425355997437311,0.4253799288699873,0.4033646924640494,1.0,0.5073803712707526,0.3012308852584936,0.25318521678885614,0.1304733191051625,0.12830478358302938,0.14506322319973539,0.16066888540152163,-0.12082651758977968,0.5151185919833734,0.31054546191028337,0.1673192452862686,0.15898669994695663,0.1285600934044198,0.12433400587341689,0.12030626388132877,0.11543829668533534,0.042447718451402126,0.038164598767283515,-0.07932321969492989,0.044966966574328526,0.04552926534291692,0.10349478311811561,-0.061293170453165555,-0.11055029794497259,-0.09911516932169157,0.20032951183020123,0.20886893560948058,0.008197172384895606,-0.020937969264478197,-0.02021209819532045,0.009057840856030995
byte_13,0.04334357356789688,0.030148859718718904,0.3772597478182624,0.3705744671641331,0.5073803712707526,1.0,0.42361769135830746,0.3640879867856919,0.13408796244019766,0.11678204921011016,0.10727365099465706,0.10332936059238829,-0.061010894394810555,0.22628210523733583,0.31527372497327943,0.23560960963506897,0.22920370748833388,0.17793051745178307,0.17714961745189559,0.16189844220180188,0.15461005766896707,0.0819075292352448,0.11289131544151469,-0.031158662001608873,0.09333450865156105,0.07857226791529329,-0.012046482194650996,0.24253978480944552,-0.057649761399589564,-0.05955630085566299,0.12023429830964835,0.13992072175165898,0.016898137120518682,0.04091971133161175,-0.0028083100960009,0.017071403913924227
byte_14,0.17876290070733633,0.18100832705815142,0.10820901290382613,0.23973335920718003,0.3012308852584936,0.42361769135830746,1.0,0.5674854742252803,0.06827340534769596,-0.03341103856986688,-0.06004204573426946,-0.035573465161078906,0.3271509969002126,-0.11504079542743945,-0.05064496382764302,0.31509219923941145,0.3051309871618741,0.26044017384636414,0.26417927160498733,0.25546167914196655,0.23969762995778543,0.17118184811528087,0.15614258654909552,0.26477876783317483,0.19755109457591905,0.18673307484517596,0.27505438477364885,0.2176354759281505,0.2867490709976467,0.20131946737115256,-0.27809367317588407,-0.26786585617420366,0.018000839822394088,0.20977068091104378,0.07548111955993307,0.014965330488771241
byte_15,0.2858294786138539,0.2596109896183748,0.09727603813316867,0.1982405423804808,0.25318521678885614,0.3640879867856919,0.5674854742252803,1.0,0.17816817835754045,0.044105922117348664,-0.0004484043866575346,0.05168938715607571,0.3276212861493777,-0.09015919115731016,-0.0310096451687529,0.29495993364528805,0.3024405646101669,0.26138697326360066,0.2645606330801343,0.24783192408131358,0.2189461466402085,0.09801604950401435,0.1274784874376573,0.2418162414065014,0.13434256604071246,0.14709422280182147,0.2643303943157639,0.22982736928242017,0.13475565625723845,0.15187370307744744,-0.1846105586091835,-0.18340683877319655,0.0006620638929544081,0.18708890399614383,0.04601354598466645,-0.0012196615154616032
byte_16,0.022865022723632843,0.007892865148516974,0.10731932192997923,0.08543783339910203,0.1304733191051625,0.13408796244019766,0.06827340534769596,0.17816817835754045,1.0,0.4149497207486588,0.38972571681595364,0.36569550530737227,-0.009369241535135539,0.19346994279721116,0.19954876797699253,0.08056023149761887,0.08688443683254664,0.07882986782894603,0.09845564741047681,0.06997537499543423,0.03054814358117004,-0.039587421486265845,-0.026987448791709306,0.006571138668288942,-0.01593100250216912,0.0024507197225167223,0.0012324342648014715,0.06343001292111616,-0.0218042127837434,-0.00015836123354876454,0.14250034809104165,0.09863809547322525,-0.04867292109823796,-0.04045594976892109,-0.08344350113269128,-0.045411490799655015
byte_17,-0.14626087722959266,-0.14527313166353303,0.10010255390673332,0.07101356845000167,0.12830478358302938,0.11678204921011016,-0.03341103856986688,0.044105922117348664,0.4149497207486588,1.0,0.4601547078308225,0.42743048577964615,-0.12612469904349066,0.253730631259347,0.2779908431105645,0.07093288946125091,0.06772697407765549,0.05652497072872707,0.05649049110196201,0.047516846992340905,0.024775102796745888,-0.03625547222881926,-0.040929568285749694,-0.04940801922705728,-0.035307398264918764,-0.04187181474414721,-0.06308709752681595,-0.027766857824426974,0.014286642264177803,0.03286539040418489,0.15524343105325464,0.19929251260057035,-0.04815873975155977,-0.20992374311214146,-0.09008950163644679,-0.04462383566406307
