,0,00,000,0000,0001,001,0010,0011,01,010,0100,0101,011,0110,0111,1,10,100,1000,1001,101,1010,1011,11,110,1100,1101,111,1110,1111,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,kurt,mad,mean,shannon_entropy,skew,std_dev
0,1.0,0.9847307630173658,0.9635646606209807,0.9417270970979643,0.7820859927345901,0.787738210053054,0.7476438735285595,0.7240527728774936,0.7883890634292442,0.7724353007715314,0.7475014758671481,0.7471271169543445,0.7664991251820963,0.7103218955003989,0.6737439255876713,0.7787243066615672,0.7883728597914266,0.7875734397573735,0.7817539849067233,0.6722416344028047,0.754599607937423,0.7314201105933056,0.7016935641566691,0.7183575586754022,0.7664502815043884,0.730327702105932,0.6720757349981519,0.590082747665201,0.6737153459055024,0.4580699350761141,0.981935407829126,0.03149794671319515,0.35256701938279505,0.9765428173146965,0.1361916186648747,-0.08292543812627974,-0.06349527187880553,-0.09548802403790378,0.10107905280567582,-0.0662846603972085
00,0.9847307630173658,1.0,0.9950345360234975,0.9850163845444587,0.6760470213284238,0.6778634160173883,0.6433267154105946,0.6231111361902101,0.6692584244324377,0.653824214734641,0.642123460118227,0.6271489444307363,0.6538690458126006,0.6081290594545327,0.5720509036620205,0.6634072482260114,0.6692395535856939,0.6776732773394893,0.6756391309056423,0.5734289849310042,0.6337211412541103,0.6123842572238403,0.5930576390124909,0.6150849579411167,0.6538223566580317,0.6295297641914392,0.5651166189781371,0.5073586299461939,0.5720335839896794,0.3984966039257866,0.9357528513998209,0.03278104461527341,0.353673761010822,0.9290545917311097,0.17664112219881192,-0.10000396985197109,-0.1006449829167898,-0.13774132972330652,0.14576332722254803,-0.07991856021641794
000,0.9635646606209807,0.9950345360234975,1.0,0.9971144385924022,0.6040077810411334,0.6013243806857917,0.5705155909088305,0.5529782196885178,0.5964632847191498,0.5823996030243632,0.5705622607340745,0.5594339606077858,0.5832706404222227,0.5429950163583894,0.5096406432923871,0.5922462057588898,0.5964423727601178,0.601120937023638,0.6035591619243507,0.5015054050079373,0.5669259482873931,0.547148347352178,0.5319380971376308,0.5504233163330494,0.583223751739276,0.5574185423143116,0.5093002325777852,0.4556312701740212,0.5096306514381074,0.3604895984923277,0.8984800480302356,0.0329705059388549,0.3511201711014784,0.8910322663947289,0.19714493158424706,-0.10743170636624616,-0.11948470245632825,-0.16075162007631733,0.16897502909888795,-0.0855465750043368
0000,0.9417270970979643,0.9850163845444587,0.9971144385924022,1.0,0.5417643591584876,0.5422180006050223,0.5144797397475447,0.4985730492646086,0.5386580741761028,0.5254774542876244,0.5153071289158008,0.5044739052275797,0.527555167324102,0.4915536094037447,0.4604335504371362,0.5355436349965341,0.5386336830397102,0.5420068491105401,0.5412972689348281,0.4570911946065966,0.5126213239254634,0.4938653246187448,0.4827430360341542,0.49864201446987305,0.5275056593308618,0.5017298565814646,0.46370957374669614,0.41350289198534784,0.4604253336006899,0.3284970309095641,0.8650659456025163,0.031954212352891954,0.34682448088235246,0.857122827809038,0.21088213188973187,-0.11359617353767537,-0.13170301797246844,-0.17518478205011392,0.18338456605689082,-0.09062457225593006
0001,0.7820859927345901,0.6760470213284238,0.6040077810411334,0.5417643591584876,1.0,0.9655753455344588,0.9156461890388331,0.8884943459195497,0.9491060812178037,0.9317417260394572,0.9074846805831476,0.8979444301970781,0.9196360361222805,0.8516295602767596,0.8090819668674093,0.9352148440489688,0.9491298466399506,0.9655358305420385,0.9999306153587887,0.7541330933967887,0.8953918901776219,0.8732926961163436,0.8217272075881181,0.8596796911276352,0.9196366138696892,0.9045007828993481,0.770915216051792,0.7040849101156595,0.8090572386706824,0.5432305193467764,0.8663224961505568,0.02978757795460414,0.24627389526877072,0.8672742585836248,-0.03128480866428287,0.0033733957615181913,0.060745886386124326,0.059973372400743026,-0.05479669402505876,0.004514660197992154
001,0.787738210053054,0.6778634160173883,0.6013243806857917,0.5422180006050223,0.9655753455344588,1.0,0.9503092212009906,0.9175848381099524,0.9668182394323818,0.9467844093513497,0.9403113259634799,0.9022674965907256,0.9407474687241365,0.8710421700577008,0.8278176544179404,0.9510541325234357,0.9668206274659218,0.9999735451862788,0.9656111054490798,0.8989812211610485,0.8997059057591247,0.8744924683073179,0.8317405132252997,0.8721336035318703,0.9407187524337495,0.9363007383034648,0.774666918959855,0.7075962925684764,0.8277516992308217,0.5365298739756565,0.875323424180082,0.019735406341870095,0.24546940043988885,0.8765797124611058,-0.03828326665730627,-0.009094412826355166,0.07520733323423119,0.08204240847106871,-0.07824320213972386,-0.00951002049350773
0010,0.7476438735285595,0.6433267154105946,0.5705155909088305,0.5144797397475447,0.9156461890388331,0.9503092212009906,1.0,0.7482335979663921,0.9177301254329517,0.929728364554863,0.9386765381593485,0.8774602736713646,0.8406877344609237,0.7954240652709076,0.7187191655918842,0.875762487771383,0.9177168571890862,0.9502141843563109,0.915530131008205,0.8576723696904728,0.8532414758694623,0.8156654656493145,0.8163001321862862,0.767470768062799,0.8406288425686133,0.8431378100998913,0.68412416157881,0.6116588352448539,0.7186184483938931,0.4618014923812854,0.8226637416298879,0.012770625435447226,0.2393898293276738,0.8230789802616973,-0.02821326117727473,-0.016175074946428447,0.05734489738810916,0.0694761266046122,-0.0601258415421406,-0.014972644820195403
0011,0.7240527728774936,0.6231111361902101,0.5529782196885178,0.4985730492646086,0.8884943459195497,0.9175848381099524,0.7482335979663921,1.0,0.8884790076230762,0.8304664893751824,0.805234739136031,0.8023466151696249,0.9312970354601775,0.8405523678977924,0.8463769637328606,0.9084534957404835,0.8885016569575097,0.9176508872788167,0.8887202967274658,0.8205842157512745,0.8278099247779821,0.822066082805384,0.7301302619726858,0.8785237757530575,0.9313105998174896,0.9186940902624927,0.7772855595546464,0.7268113497577272,0.8463644880660032,0.5535777117194159,0.8148970908449329,0.025716020770277567,0.2174997562947223,0.8170379519324676,-0.04551368323335354,0.0011905057749115803,0.08681951029475847,0.08596115525616303,-0.08986577033669009,-0.0012246325290713078
01,0.7883890634292442,0.6692584244324377,0.5964632847191498,0.5386580741761028,0.9491060812178037,0.9668182394323818,0.9177301254329517,0.8884790076230762,1.0,0.9864432126625079,0.9213746983350333,0.9726836339656961,0.9609576870769149,0.8828122582301665,0.8541892677487378,0.9794427052247983,0.9999971026837287,0.9667860466864211,0.9491293858247272,0.8429117158730488,0.9813569858006382,0.9578175290611598,0.8992474414287571,0.8925660305472415,0.9609136691385065,0.8925781775973091,0.8715703026521812,0.725765963023131,0.8541279128045974,0.5470266708794278,0.8843682975742356,0.018631215365222442,0.25497931679127617,0.8850259204578361,-0.04294306320352125,-0.0004960548123135287,0.08479930205982693,0.07928411483236085,-0.08373292609887344,-0.000448222232275273
010,0.7724353007715314,0.653824214734641,0.5823996030243632,0.5254774542876244,0.9317417260394572,0.9467844093513497,0.929728364554863,0.8304664893751824,0.9864432126625079,1.0,0.9412781477492556,0.9820075309837883,0.9025240917078536,0.825748090066245,0.8064325185745946,0.9486036559277236,0.9864313247342359,0.9467128752716405,0.9316156179680805,0.821718802460138,0.9732821455888203,0.9713794092639164,0.8486745411535196,0.8412003701057417,0.9024625049643364,0.8337881173718676,0.8242100568781333,0.6867170829142218,0.8063570380480233,0.5187637627477205,0.8631486502968632,0.012983121461493573,0.24855678935704298,0.8638179595768456,-0.035274257323125564,-0.0023782463097321497,0.06842552541671677,0.06128749413978426,-0.06712073164947638,-0.001340286353674772
0100,0.7475014758671481,0.642123460118227,0.5705622607340745,0.5153071289158008,0.9074846805831476,0.9403113259634799,0.9386765381593485,0.805234739136031,0.9213746983350333,0.9412781477492556,1.0,0.8605844747767577,0.8307749064599105,0.7771085240278781,0.7212902805292671,0.8776043567877512,0.9213635810834504,0.940296344339433,0.9074422111426858,0.8462469354331414,0.8669289704435709,0.8732786217884694,0.7397381729282738,0.766855613552347,0.8307262439854961,0.7609814976567626,0.766902963263148,0.6191127713804159,0.7211920020642769,0.47139678377956123,0.8231109527243526,0.009972104449356754,0.22159691162311435,0.8251069931544831,-0.028882498404766938,-0.018822832565532306,0.054730614592076406,0.069082019476166,-0.06360319920191089,-0.01875683285794001
0101,0.7471271169543445,0.6271489444307363,0.5594339606077858,0.5044739052275797,0.8979444301970781,0.9022674965907256,0.8774602736713646,0.8023466151696249,0.9726836339656961,0.9820075309837883,0.8605844747767577,1.0,0.8967573961736073,0.8109664314478445,0.8130357220044434,0.94006951089762,0.9726715859944431,0.9021685831153489,0.8977787266536666,0.7662079773273297,0.983283147818384,0.9768666369081597,0.8664452894658222,0.839979178821,0.8966908298889102,0.8321107731437616,0.8143434169275694,0.6895643782849107,0.8129764610182467,0.5188167424273882,0.8416667799292519,0.013979375191414246,0.2510613892429185,0.8415546984930694,-0.037023189993094556,0.006912063286280869,0.07240295280970771,0.05366392011676387,-0.06557726550779983,0.008438025117590509
