,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns,ptrs_ancestor_1,ptrs_ancestor_2,ptrs_ancestor_3,ptrs_ancestor_4,ptrs_ancestor_5,ptrs_ancestor_6,ptrs_ancestor_7,ptrs_ancestor_8,ptrs_children_1,ptrs_children_2,ptrs_children_3,ptrs_children_4,ptrs_children_5,ptrs_children_6,ptrs_children_7,ptrs_children_8
chunk_byte_size,1.0,-0.008676021803732241,0.8227579816727677,0.999723649758543,0.8227579816727677,0.8517406350816806,0.8517406350816806,0.8517406350816806,0.8517406350816806,0.8517406350816806,0.8517406350816806,0.8517406350816806,0.8227579816727677,0.5618530651163347,0.5603429547630242,0.07099170035080796,0.027074378103395,0.027074378103395,0.027074378103395,0.027074378103395
chunk_number_in_heap,-0.008676021803732241,1.0,0.0022348669094318305,-0.009119238552804845,0.0022348669094318305,0.003484693130064877,0.003484693130064877,0.003484693130064877,0.003484693130064877,0.003484693130064877,0.003484693130064877,0.003484693130064877,0.0022348669094318305,0.001417866286916028,0.0796975033026042,-0.0045709977564792,-0.0017369911415103642,-0.0017369911415103642,-0.0017369911415103642,-0.0017369911415103642
chunk_ptrs,0.8227579816727677,0.0022348669094318305,1.0,0.8091852444568018,1.0,0.99788869280042,0.99788869280042,0.99788869280042,0.99788869280042,0.99788869280042,0.99788869280042,0.99788869280042,1.0,0.9177070894861674,0.41469654097290815,0.058820296122243286,0.02241482936359233,0.02241482936359233,0.02241482936359233,0.02241482936359233
chunk_vns,0.999723649758543,-0.009119238552804845,0.8091852444568018,1.0,0.8091852444568018,0.8392320954108358,0.8392320954108358,0.8392320954108358,0.8392320954108358,0.8392320954108358,0.8392320954108358,0.8392320954108358,0.8091852444568018,0.5428892850456908,0.5621012600247809,0.07095495994892978,0.02706095891068766,0.02706095891068766,0.02706095891068766,0.02706095891068766
ptrs_ancestor_1,0.8227579816727677,0.0022348669094318305,1.0,0.8091852444568018,1.0,0.99788869280042,0.99788869280042,0.99788869280042,0.99788869280042,0.99788869280042,0.99788869280042,0.99788869280042,1.0,0.9177070894861674,0.41469654097290815,0.058820296122243286,0.02241482936359233,0.02241482936359233,0.02241482936359233,0.02241482936359233
ptrs_ancestor_2,0.8517406350816806,0.003484693130064877,0.99788869280042,0.8392320954108358,0.99788869280042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978886928004198,0.8924924479497763,0.4460479800899059,0.06249360085934515,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977
ptrs_ancestor_3,0.8517406350816806,0.003484693130064877,0.99788869280042,0.8392320954108358,0.99788869280042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978886928004198,0.8924924479497763,0.4460479800899059,0.06249360085934515,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977
ptrs_ancestor_4,0.8517406350816806,0.003484693130064877,0.99788869280042,0.8392320954108358,0.99788869280042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978886928004198,0.8924924479497763,0.4460479800899059,0.06249360085934515,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977
ptrs_ancestor_5,0.8517406350816806,0.003484693130064877,0.99788869280042,0.8392320954108358,0.99788869280042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978886928004198,0.8924924479497763,0.4460479800899059,0.06249360085934515,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977
ptrs_ancestor_6,0.8517406350816806,0.003484693130064877,0.99788869280042,0.8392320954108358,0.99788869280042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978886928004198,0.8924924479497763,0.4460479800899059,0.06249360085934515,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977
ptrs_ancestor_7,0.8517406350816806,0.003484693130064877,0.99788869280042,0.8392320954108358,0.99788869280042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978886928004198,0.8924924479497763,0.4460479800899059,0.06249360085934515,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977
ptrs_ancestor_8,0.8517406350816806,0.003484693130064877,0.99788869280042,0.8392320954108358,0.99788869280042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9978886928004198,0.8924924479497763,0.4460479800899059,0.06249360085934515,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977
ptrs_children_1,0.8227579816727677,0.0022348669094318305,1.0,0.8091852444568018,1.0,0.9978886928004198,0.9978886928004198,0.9978886928004198,0.9978886928004198,0.9978886928004198,0.9978886928004198,0.9978886928004198,1.0,0.9177070894861674,0.41469654097290815,0.058820296122243286,0.02241482936359233,0.02241482936359233,0.02241482936359233,0.02241482936359233
ptrs_children_2,0.5618530651163347,0.001417866286916028,0.9177070894861674,0.5428892850456908,0.9177070894861674,0.8924924479497763,0.8924924479497763,0.8924924479497763,0.8924924479497763,0.8924924479497763,0.8924924479497763,0.8924924479497763,0.9177070894861674,1.0,0.17542734485248845,0.022013077057106128,0.00839104563956396,0.00839104563956396,0.00839104563956396,0.00839104563956396
ptrs_children_3,0.5603429547630242,0.0796975033026042,0.41469654097290815,0.5621012600247809,0.41469654097290815,0.4460479800899059,0.4460479800899059,0.4460479800899059,0.4460479800899059,0.4460479800899059,0.4460479800899059,0.4460479800899059,0.41469654097290815,0.17542734485248845,1.0,0.12669330406917034,0.0481950107519103,0.0481950107519103,0.0481950107519103,0.0481950107519103
ptrs_children_4,0.07099170035080796,-0.0045709977564792,0.058820296122243286,0.07095495994892978,0.058820296122243286,0.06249360085934515,0.06249360085934515,0.06249360085934515,0.06249360085934515,0.06249360085934515,0.06249360085934515,0.06249360085934515,0.058820296122243286,0.022013077057106128,0.12669330406917034,1.0,0.3751142782349643,0.3751142782349643,0.3751142782349643,0.3751142782349643
ptrs_children_5,0.027074378103395,-0.0017369911415103642,0.02241482936359233,0.02706095891068766,0.02241482936359233,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.02241482936359233,0.00839104563956396,0.0481950107519103,0.3751142782349643,1.0,1.0,1.0,1.0
ptrs_children_6,0.027074378103395,-0.0017369911415103642,0.02241482936359233,0.02706095891068766,0.02241482936359233,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.02241482936359233,0.00839104563956396,0.0481950107519103,0.3751142782349643,1.0,1.0,1.0,1.0
ptrs_children_7,0.027074378103395,-0.0017369911415103642,0.02241482936359233,0.02706095891068766,0.02241482936359233,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.02241482936359233,0.00839104563956396,0.0481950107519103,0.3751142782349643,1.0,1.0,1.0,1.0
ptrs_children_8,0.027074378103395,-0.0017369911415103642,0.02241482936359233,0.02706095891068766,0.02241482936359233,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.023814049355256977,0.02241482936359233,0.00839104563956396,0.0481950107519103,0.3751142782349643,1.0,1.0,1.0,1.0
