,chunk_byte_size,chunk_number_in_heap,chunk_ptrs,chunk_vns
chunk_byte_size,1.0,-0.03197637762409164,0.18522386069175742,0.9602553232489682
chunk_number_in_heap,-0.03197637762409164,1.0,0.14122818498227033,-0.07258749849249724
chunk_ptrs,0.18522386069175742,0.14122818498227033,1.0,-0.09622069308459287
chunk_vns,0.9602553232489682,-0.07258749849249724,-0.09622069308459287,1.0
