,embedded_0,embedded_1,embedded_2,embedded_3,embedded_4,embedded_5,embedded_6,embedded_7
embedded_0,,,,,,,,
embedded_1,,1.0,-0.05653893778977516,-0.012255826570042951,-0.8864882616611386,-0.8864887489936433,-0.5730474897772307,0.4932370559795996
embedded_2,,-0.05653893778977516,1.0,0.9987134606728096,-0.40514954902621775,-0.4051498380044902,0.8496338080368048,-0.8905826198821788
embedded_3,,-0.012255826570042951,0.9987134606728096,1.0,-0.4440537061178645,-0.44405401845334347,0.8261850765627251,-0.8719248945082806
embedded_4,,-0.8864882616611386,-0.40514954902621775,-0.4440537061178645,1.0,0.9999993069724509,0.13695655628900197,-0.049030700527668836
embedded_5,,-0.8864887489936433,-0.4051498380044902,-0.44405401845334347,0.9999993069724509,1.0,0.13695659101063073,-0.04903066176498945
embedded_6,,-0.5730474897772307,0.8496338080368048,0.8261850765627251,0.13695655628900197,0.13695659101063073,1.0,-0.9937661072426102
embedded_7,,0.4932370559795996,-0.8905826198821788,-0.8719248945082806,-0.049030700527668836,-0.04903066176498945,-0.9937661072426102,1.0
