,embedded_0,embedded_1,embedded_2,embedded_3,embedded_4,embedded_5,embedded_6,embedded_7
embedded_0,1.0,-0.8795235477967943,0.8601752308803369,-0.8304363567408002,,0.9785314743822148,-0.8198395564511872,0.8207278703717221
embedded_1,-0.8795235477967943,1.0,-0.6250865787700257,0.5895496139551676,,-0.8984406116874334,0.5388925631297043,-0.5084537081737345
embedded_2,0.8601752308803369,-0.6250865787700257,1.0,-0.9859498100512055,,0.8058656888439141,-0.9746756000834994,0.9595698395747146
embedded_3,-0.8304363567408002,0.5895496139551676,-0.9859498100512055,1.0,,-0.7640299119690808,0.9900591504069122,-0.9669812656577333
embedded_4,,,,,,,,
embedded_5,0.9785314743822148,-0.8984406116874334,0.8058656888439141,-0.7640299119690808,,1.0,-0.7377615833627987,0.7464863471392329
embedded_6,-0.8198395564511872,0.5388925631297043,-0.9746756000834994,0.9900591504069122,,-0.7377615833627987,1.0,-0.9895608306301391
embedded_7,0.8207278703717221,-0.5084537081737345,0.9595698395747146,-0.9669812656577333,,0.7464863471392329,-0.9895608306301391,1.0
